place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJbSycTYe_wjsRhPxcLlCZrJw,Starbucks Coffee,"Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.",False,9500,"Name: Starbucks Coffee
link: https://www.google.com/maps/search/Starbucks+Coffee/@18.556809899999998,73.8089632?authuser=0&hl=en&entry=ttu
Reviews: 3926 reviews

Name: Starbucks
link: https://www.google.com/maps/search/Starbucks/@18.5618929,73.8072246?authuser=0&hl=en&entry=ttu
Reviews: 1852 reviews

Name: Starbucks Coffee
link: https://www.google.com/maps/search/Starbucks+Coffee/@18.5143213,73.8288261?authuser=0&hl=en&entry=ttu
Reviews: 423 reviews

Name: Boka Book Cafe
link: https://www.google.com/maps/search/Boka+Book+Cafe/@18.516733,73.8416846?authuser=0&hl=en&entry=ttu
Reviews: 273 reviews",http://www.starbucks.in/,Starbucks Coffee (Owner),https://www.google.com/maps/contrib/114640337474206511599,https://lh5.googleusercontent.com/p/AF1QipMFxQ7yYwVcigjTCLPe1MIS7ZegoJ8JfD1nBIGO=w408-h306-k-no,Coffee shop,"Coffee shop, Cafe",4.3,7 am-11 pm,Open All Days,072088 53516,"Starbucks Coffee, Mosaic Ground Floor West, 2, Gopal Krushna Gokhale Marg, across Fergusson College Road, Shivajinagar, Pune, Maharashtra 411004","meeting, college, outlet, brand, hazelnut, signature, arrangement, parking space, ram, free wifi",https://www.google.com/maps/place/Starbucks+Coffee/data=!4m7!3m6!1s0x3bc2bf874d9c2c6d:0x9cac99502e5cfc84!8m2!3d18.5225201!4d73.841217!16s%2Fg%2F11b73v3lx2!19sChIJbSycTYe_wjsRhPxcLlCZrJw?authuser=0&hl=en&rclk=1
ChIJ6bdsBTu_wjsR8LWgbuXDxa4,Starbucks Coffee,"Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.",False,3929,"Name: Starbucks Coffee
link: https://www.google.com/maps/search/Starbucks+Coffee/@18.522520099999998,73.841217?authuser=0&hl=en&entry=ttu
Reviews: 9494 reviews

Name: Starbucks
link: https://www.google.com/maps/search/Starbucks/@18.5618929,73.8072246?authuser=0&hl=en&entry=ttu
Reviews: 1852 reviews

Name: Third Wave Coffee
link: https://www.google.com/maps/search/Third+Wave+Coffee/@18.5562353,73.8089403?authuser=0&hl=en&entry=ttu
Reviews: 562 reviews

Name: Starbucks Coffee
link: https://www.google.com/maps/search/Starbucks+Coffee/@18.5143213,73.8288261?authuser=0&hl=en&entry=ttu
Reviews: 423 reviews

Name: Starbucks - Panchshil Cummins Baner (S077)
link: https://www.google.com/maps/search/Starbucks+-+Panchshil+Cummins+Baner+%28S077%29/@18.5700221,73.7811009?authuser=0&hl=en&entry=ttu
Reviews: 16 reviews",https://www.starbucks.com/,Starbucks Coffee (Owner),https://www.google.com/maps/contrib/104849679335800764977,https://lh5.googleusercontent.com/p/AF1QipOTsH753_7RdGXwczgrd0HxQS_s6UGccez1LQeu=w408-h272-k-no,Coffee shop,Coffee shop,4.3,7 am-11:30 pm,Open All Days,073045 99016,"Starbucks Coffee, Ground Centriole Mall, ITI Rd, Anand Park, Aundh, Pune, Maharashtra 411007","meetings, feel, outlet, conversation, interior, fan, evening, crowd, red velvet, free wifi",https://www.google.com/maps/place/Starbucks+Coffee/data=!4m7!3m6!1s0x3bc2bf3b056cb7e9:0xaec5c3e56ea0b5f0!8m2!3d18.5568099!4d73.8089632!16s%2Fg%2F1ptwl348f!19sChIJ6bdsBTu_wjsR8LWgbuXDxa4?authuser=0&hl=en&rclk=1
ChIJq7jKGeu_wjsRAyjzz3WhI74,Starbucks Coffee,"Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.",False,3851,"Name: Starbucks Coffee
link: https://www.google.com/maps/search/Starbucks+Coffee/@18.556809899999998,73.8089632?authuser=0&hl=en&entry=ttu
Reviews: 3926 reviews

Name: Cafe Durga
link: https://www.google.com/maps/search/Cafe+Durga/@18.5060128,73.8178307?authuser=0&hl=en&entry=ttu
Reviews: 3824 reviews

Name: Chai Express - Karishma Kothrud
link: https://www.google.com/maps/search/Chai+Express+-+Karishma+Kothrud/@18.501957,73.8216613?authuser=0&hl=en&entry=ttu
Reviews: 560 reviews

Name: KIOSK KAFFEE
link: https://www.google.com/maps/search/KIOSK+KAFFEE/@18.501997,73.81675249999999?authuser=0&hl=en&entry=ttu
Reviews: 217 reviews

Name: Coffee Square
link: https://www.google.com/maps/search/Coffee+Square/@18.502439799999998,73.8160819?authuser=0&hl=en&entry=ttu
Reviews: 46 reviews",http://www.starbucks.in/,Starbucks Coffee (Owner),https://www.google.com/maps/contrib/105767169477453559411,https://lh5.googleusercontent.com/p/AF1QipPW67IgRihjR2_cViroKIyjAjePhEsEI2HCpltj=w427-h240-k-no,Cafe,"Cafe, Coffee shop",4.3,7 am-11 pm,Open All Days,073045 99043,"Ground Floor, Starbucks Coffee, Sangam Solitaire, Late GA Kulkarni Path, Sangam Shree Society, Kothrud, Pune, Maharashtra 411038","frappuccino, peaceful, parking, chat, outlet, chocolate chip, laptop, social distancing, signature, crowd",https://www.google.com/maps/place/Starbucks+Coffee/data=!4m7!3m6!1s0x3bc2bfeb19cab8ab:0xbe23a175cff32803!8m2!3d18.5021628!4d73.8219737!16s%2Fg%2F11c2jt694t!19sChIJq7jKGeu_wjsRAyjzz3WhI74?authuser=0&hl=en&rclk=1
ChIJpw_42zS5wjsR8a4aCUzyWEs,Starbucks,"Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.",False,3535,"Name: Starbucks Coffee
link: https://www.google.com/maps/search/Starbucks+Coffee/@18.522520099999998,73.841217?authuser=0&hl=en&entry=ttu
Reviews: 9494 reviews

Name: Cafe Coffee Day
link: https://www.google.com/maps/search/Caf%C3%A9+Coffee+Day/@18.5644484,73.7791633?authuser=0&hl=en&entry=ttu
Reviews: 1883 reviews

Name: Starbucks Coffee
link: https://www.google.com/maps/search/Starbucks+Coffee/@18.5143213,73.8288261?authuser=0&hl=en&entry=ttu
Reviews: 423 reviews

Name: Cafe Creme Balewadi
link: https://www.google.com/maps/search/Cafe+Creme+Balewadi/@18.574562099999998,73.7733294?authuser=0&hl=en&entry=ttu
Reviews: 141 reviews

Name: Starbucks - Panchshil Cummins Baner (S077)
link: https://www.google.com/maps/search/Starbucks+-+Panchshil+Cummins+Baner+%28S077%29/@18.5700221,73.7811009?authuser=0&hl=en&entry=ttu
Reviews: 16 reviews",http://www.starbucks.com/,Starbucks (Owner),https://www.google.com/maps/contrib/105896497555253942042,https://lh5.googleusercontent.com/p/AF1QipN0Z6bVRzJCFCSzjnsOMZf3YSoj6r6svepmaufs=w427-h240-k-no,Coffee shop,Coffee shop,4.4,8 am-11 pm,Open All Days,092846 56744,"Starbucks, Balewadi High St, Laxman Nagar, Baner, Pune, Maharashtra 411052","experience, meetings, ambience, frappuccino, brand, chocolate chip, outlet, crowd, safety, hibiscus",https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x3bc2b934dbf80fa7:0x4b58f24c091aaef1!8m2!3d18.5700741!4d73.7745053!16s%2Fg%2F11dymgh0zq!19sChIJpw_42zS5wjsR8a4aCUzyWEs?authuser=0&hl=en&rclk=1
ChIJqy5lITC_wjsR3xRk-KE9vo8,Starbucks,"Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.",False,1853,"Name: Starbucks Coffee
link: https://www.google.com/maps/search/Starbucks+Coffee/@18.556809899999998,73.8089632?authuser=0&hl=en&entry=ttu
Reviews: 3926 reviews

Name: Starbucks coffee
link: https://www.google.com/maps/search/Starbucks+coffee/@18.534255899999998,73.82970689999999?authuser=0&hl=en&entry=ttu
Reviews: 1050 reviews

Name: Starbucks Coffee
link: https://www.google.com/maps/search/Starbucks+Coffee/@18.5143213,73.8288261?authuser=0&hl=en&entry=ttu
Reviews: 423 reviews

Name: The Coffee Bean and Tea leaf
link: https://www.google.com/maps/search/The+Coffee+Bean+and+Tea+leaf/@18.5622934,73.8071922?authuser=0&hl=en&entry=ttu
Reviews: 27 reviews

Name: Starbucks - Panchshil Cummins Baner (S077)
link: https://www.google.com/maps/search/Starbucks+-+Panchshil+Cummins+Baner+%28S077%29/@18.5700221,73.7811009?authuser=0&hl=en&entry=ttu
Reviews: 16 reviews",http://starbucks.in/,Starbucks (Owner),https://www.google.com/maps/contrib/102697530063898041694,https://lh5.googleusercontent.com/p/AF1QipO9-fTm_Fjkdb8SmbG8wYQ45Gdq1536l3nPVQvf=w426-h240-k-no,Coffee shop,Coffee shop,4.2,11 am-11 pm,Open All Days,097661 82454,"Starbucks, WESTEND MALL, Harmony Society, Ward No. 8, Wireless Colony, Aundh, Pune, Maharashtra 411007","experience, sitting, mall, service, outlet, name, cheese cake, frappuccino, conversation, mocha",https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x3bc2bf3021652eab:0x8fbe3da1f86414df!8m2!3d18.5618929!4d73.8072246!16s%2Fg%2F11c6ygtr0l!19sChIJqy5lITC_wjsR3xRk-KE9vo8?authuser=0&hl=en&rclk=1
