place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJv6OzuEfBwjsRfsfW5Mjcf28,Phoenix Marketcity Pune,"Energetic shopping center offering brand-name stores, eateries, a movie theater & a bowling alley.",False,138862,"Name: The Pavillion Mall
link: https://www.google.com/maps/search/The+Pavillion+Mall/@18.5344358,73.8297181?authuser=0&hl=en&entry=ttu
Reviews: 44873 reviews

Name: Phoenix Mall of the Millennium Wakad
link: https://www.google.com/maps/search/Phoenix+Mall+of+the+Millennium+Wakad/@18.6005274,73.75655309999999?authuser=0&hl=en&entry=ttu
Reviews: 4209 reviews

Name: Mars viman nagar
link: https://www.google.com/maps/search/Mars+viman+nagar/@18.5679408,73.9144237?authuser=0&hl=en&entry=ttu
Reviews: 2 reviews

Name: pinigseu
link: https://www.google.com/maps/search/%ED%94%BC%EB%8B%89%EC%8A%A4/@18.5618548,73.916731?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",https://www.phoenixmarketcity.com/pune,Phoenix Marketcity Pune (Owner),https://www.google.com/maps/contrib/112060645730822569039,https://lh5.googleusercontent.com/p/AF1QipPOAmh2zsQEcsgjel8DKRjn4wHCVanmz11xmr_Z=w426-h240-k-no,Shopping mall,Shopping mall,4.5,11 am-10 pm,Open All Days,020 6689 0085,"S No. 207, Phoenix Marketcity Pune, Phoenix Marketcity, Viman Nagar Rd, Clover Park, Viman Nagar, Pune, Maharashtra 411014","brands, food court, roof, showrooms, multiplex, airport, joints, foodies, 4dx, aarogya setu",https://www.google.com/maps/place/Phoenix+Marketcity+Pune/data=!4m7!3m6!1s0x3bc2c147b8b3a3bf:0x6f7fdcc8e4d6c77e!8m2!3d18.562254!4d73.9166943!16s%2Fg%2F11bx55xprv!19sChIJv6OzuEfBwjsRfsfW5Mjcf28?authuser=0&hl=en&rclk=1
ChIJ41PwQ_LBwjsRypeqtFw7peY,Seasons Mall,"4-story mall housing a hypermarket, 15-screen multiplex & 100+ stores, including a food court.",False,81749,"Name: Amanora Mall
link: https://www.google.com/maps/search/Amanora+Mall/@18.5187043,73.9341999?authuser=0&hl=en&entry=ttu
Reviews: 77470 reviews

Name: Lifestyle Stores
link: https://www.google.com/maps/search/Lifestyle+Stores/@18.5197219,73.9313913?authuser=0&hl=en&entry=ttu
Reviews: 3889 reviews

Name: Mi Home - Seasons Mall, Pune
link: https://www.google.com/maps/search/Mi+Home+-+Seasons+Mall%2C+Pune/@18.5194299,73.93185509999999?authuser=0&hl=en&entry=ttu
Reviews: 2834 reviews

Name: City Mall
link: https://www.google.com/maps/search/City+Mall/@18.541242999999998,73.830608?authuser=0&hl=en&entry=ttu
Reviews: 2364 reviews

Name: The Capital
link: https://www.google.com/maps/search/The+Capital/@18.5034749,73.9247769?authuser=0&hl=en&entry=ttu
Reviews: 6 reviews",http://www.seasonsmall.in/,Seasons Mall (Owner),https://www.google.com/maps/contrib/104114243009732807112,https://lh5.googleusercontent.com/p/AF1QipNKjOmNvbAq_9kg5pE6qkicbzHNTYmoLMWdqoy7=w408-h306-k-no,Shopping mall,Shopping mall,4.4,11 am-11:30 pm,Open All Days,077559 80311,"Seasons Mall, Magarpatta, Hadapsar, Pune, Maharashtra 411013","brands, multiplex, amanora mall, screens, lifestyle, celebrities, joints, foodies, hangout, timezone",https://www.google.com/maps/place/Seasons+Mall/data=!4m7!3m6!1s0x3bc2c1f243f053e3:0xe6a53b5cb4aa97ca!8m2!3d18.5196257!4d73.9312848!16s%2Fg%2F1xfsm5rw!19sChIJ41PwQ_LBwjsRypeqtFw7peY?authuser=0&hl=en&rclk=1
ChIJbYPmohLBwjsRvHK8CFQ6Kd8,Amanora Mall,"Contemporary mall offering brand-name stores, restaurants, a bowling alley, arcade & movie theater.",False,77500,"Name: Seasons Mall
link: https://www.google.com/maps/search/Seasons+Mall/@18.5196257,73.9312848?authuser=0&hl=en&entry=ttu
Reviews: 81715 reviews

Name: CENTRO
link: https://www.google.com/maps/search/CENTRO/@18.5182048,73.9339825?authuser=0&hl=en&entry=ttu
Reviews: 2610 reviews

Name: Max
link: https://www.google.com/maps/search/Max/@18.5185672,73.9361658?authuser=0&hl=en&entry=ttu
Reviews: 1944 reviews

Name: Amanora Urban Plaza
link: https://www.google.com/maps/search/Amanora+Urban+Plaza/@18.517733800000002,73.94650360000001?authuser=0&hl=en&entry=ttu
Reviews: 100 reviews",http://amanoramall.com/,Amanora Mall (Owner),https://www.google.com/maps/contrib/114921487957111829748,https://lh5.googleusercontent.com/p/AF1QipP7WcsqwcEiOcr5vTS44v85YjTz75UnZcQZxv7S=w408-h306-k-no,Shopping mall,"Shopping mall, Outlet mall",4.4,11 am-10 pm,Open All Days,020 6726 7888,"Amanora Mall, Mundhwa - Kharadi Rd, Amanora Park Town, Hadapsar, Pune, Maharashtra 411028","showroom, seasons mall, fountain, multiplex, decathlon, joints, roaming, dominos, crossword, amoeba",https://www.google.com/maps/place/Amanora+Mall/data=!4m7!3m6!1s0x3bc2c112a2e6836d:0xdf293a5408bc72bc!8m2!3d18.5187043!4d73.9341999!16s%2Fg%2F11f3jp6lm6!19sChIJbYPmohLBwjsRvHK8CFQ6Kd8?authuser=0&hl=en&rclk=1
ChIJUWGRJTC_wjsR12dzhGAaM8c,Westend Mall,"Modern shopping mall with local & global brands, familiar fast-food options & an IMAX cinema.",False,63764,"Name: Reliance Mall
link: https://www.google.com/maps/search/Reliance+Mall/@18.5634989,73.8072122?authuser=0&hl=en&entry=ttu
Reviews: 3451 reviews

Name: Westend Mall Food Court
link: https://www.google.com/maps/search/Westend+Mall+Food+Court/@18.5610674,73.806836?authuser=0&hl=en&entry=ttu
Reviews: 1227 reviews

Name: JAIHIND - AUNDH
link: https://www.google.com/maps/search/JAIHIND+-+AUNDH/@18.5602214,73.8089418?authuser=0&hl=en&entry=ttu
Reviews: 703 reviews

Name: Westend Center One
link: https://www.google.com/maps/search/Westend+Center+One/@18.5639289,73.807075?authuser=0&hl=en&entry=ttu
Reviews: 147 reviews

Name: Yashwant Shopping Center
link: https://www.google.com/maps/search/Yashwant+Shopping+Center/@18.5183999,73.8546087?authuser=0&hl=en&entry=ttu
Reviews: 20 reviews",https://www.westendmallpune.com/,Westend Mall (Owner),https://www.google.com/maps/contrib/117127839182262741515,https://lh5.googleusercontent.com/p/AF1QipNdFMemp1zhbkuAPV-yQ8pydCL2QGs83yk-eZvt=w408-h544-k-no,Shopping mall,Shopping mall,4.3,11 am-11 pm,Open All Days,020 2720 7410,"Westend Mall, Mahadji Shinde Rd, Near Parihar Chowk, Harmony Society, Ward No. 8, Wireless Colony, Aundh, Pune, Maharashtra 411007","brands, food court, IMAX, multiplex, parking space, screen, polka dot, toy train, phoenix marketcity pune, amanora mall",https://www.google.com/maps/place/Westend+Mall/data=!4m7!3m6!1s0x3bc2bf3025916151:0xc7331a60847367d7!8m2!3d18.5624711!4d73.8072445!16s%2Fg%2F11c1tm10lj!19sChIJUWGRJTC_wjsR12dzhGAaM8c?authuser=0&hl=en&rclk=1
ChIJDT9zq3C_wjsRowiS4TAMzRs,The Pavillion Mall,"Sophisticated retail complex with 4 levels of brand-name shops, a food court & movie theater.",False,44898,"Name: Phoenix Marketcity Pune
link: https://www.google.com/maps/search/Phoenix+Marketcity+Pune/@18.562254,73.9166943?authuser=0&hl=en&entry=ttu
Reviews: 138808 reviews

Name: Pantaloons Women Store (Pavillion Mall, Pune)
link: https://www.google.com/maps/search/Pantaloons+Women+Store+%28Pavillion+Mall%2C+Pune%29/@18.5338268,73.8295505?authuser=0&hl=en&entry=ttu
Reviews: 3718 reviews

Name: Lifestyle Stores
link: https://www.google.com/maps/search/Lifestyle+Stores/@18.5338213,73.8297612?authuser=0&hl=en&entry=ttu
Reviews: 3672 reviews

Name: City Mall
link: https://www.google.com/maps/search/City+Mall/@18.541242999999998,73.830608?authuser=0&hl=en&entry=ttu
Reviews: 2364 reviews",https://www.nexusmalls.com/thepavillion-pune,The Pavillion Mall (Owner),,https://lh5.googleusercontent.com/p/AF1QipMTSqTW5ayJo9NIOW_6y-Qh_AXkngBq0KZtjTcU=w523-h240-k-no,Shopping mall,Shopping mall,4.5,11 am-9:30 pm,Open All Days,020 6642 1100,"GRMH+QVG The Pavillion Mall, Senapati Bapat Rd, next to JW Marriott Hotel, Laxmi Society, Model Colony, Shivajinagar, Pune, Maharashtra 411016","brands, food court, interior, lifestyle, icon, shivaji nagar, crossword, phoenix market city, foodies, jw marriott",https://www.google.com/maps/place/The+Pavillion+Mall/data=!4m7!3m6!1s0x3bc2bf70ab733f0d:0x1bcd0c30e19208a3!8m2!3d18.5344358!4d73.8297181!16s%2Fg%2F11fy2kjzwd!19sChIJDT9zq3C_wjsRowiS4TAMzRs?authuser=0&hl=en&rclk=1
