place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJVVUVLfO_wjsRWNez---suis,TRENDS,,False,2669,"Name: Reliance Mall
link: https://www.google.com/maps/search/Reliance+Mall/@18.5046456,73.8338213?authuser=0&hl=en&entry=ttu
Reviews: 6093 reviews

Name: Reliance Trends
link: https://www.google.com/maps/search/Reliance+Trends/@18.5805948,73.97661579999999?authuser=0&hl=en&entry=ttu
Reviews: 803 reviews

Name: Trends Footwear
link: https://www.google.com/maps/search/Trends+Footwear/@18.5042015,73.8335372?authuser=0&hl=en&entry=ttu
Reviews: 19 reviews

Name: Fashion Trends
link: https://www.google.com/maps/search/Fashion+Trends/@18.5177668,73.85106300000001?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews

Name: TREND
link: https://www.google.com/maps/search/TREND/@18.515272,73.8472975?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",https://reliancetrends.com/page/trends-karwe-nagar-pune,TRENDS (Owner),https://www.google.com/maps/contrib/104839009100558334090,https://lh5.googleusercontent.com/p/AF1QipPvP_nq6Oum2OQan_XZvjuZhdO_MzVBn8gfdi18=w653-h240-k-no,Clothing store,"Clothing store, Casual Clothing Store, Outlet mall, Store",3.9,11 am-9:30 pm,Open All Days,072760 81365,"TRENDS, DTC/93/5-A Karwe Nagar Road Landmark: Nr Dinanath Mangeshkar Hospital, Mhatre Bridge, Pune, Maharashtra 411004","discount, parking, varieties, money, billing, groceries, roof, stock, rate, season",https://www.google.com/maps/place/TRENDS/data=!4m7!3m6!1s0x3bc2bff32d155555:0x2bbaaceffbb3d758!8m2!3d18.5046338!4d73.8334971!16s%2Fg%2F11c0pq0twp!19sChIJVVUVLfO_wjsRWNez---suis?authuser=0&hl=en&rclk=1
ChIJTS2dw42VwjsRGe5haotDW1s,TRENDS,,False,2238,"Name: Reliance Trends
link: https://www.google.com/maps/search/Reliance+Trends/@18.5805948,73.97661579999999?authuser=0&hl=en&entry=ttu
Reviews: 803 reviews

Name: Trends Footwear
link: https://www.google.com/maps/search/Trends+Footwear/@18.5042015,73.8335372?authuser=0&hl=en&entry=ttu
Reviews: 19 reviews

Name: TRENDS
link: https://www.google.com/maps/search/TRENDS/@18.502693999999998,73.899909?authuser=0&hl=en&entry=ttu
Reviews: 15 reviews

Name: Fashion Trends
link: https://www.google.com/maps/search/Fashion+Trends/@18.5177668,73.85106300000001?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",https://reliancetrends.com/page/trends-sinhgad-roadhingne-khurd-pune,TRENDS (Owner),https://www.google.com/maps/contrib/103598947605110223899,https://lh5.googleusercontent.com/p/AF1QipNnnCItiQsYleUgPBFTEVarjPSgL2CILSV6xe5i=w426-h240-k-no,Clothing store,"Clothing store, Casual Clothing Store, Outlet mall, Store",3.9,11 am-9:30 pm,Open All Days,074991 57113,"TRENDS, Saarthi, SHIMMER N SHINE, 6 to 8, Sinhgad Rd, Hingne Khurd, Pune, Maharashtra 411051","brands, varieties, outlet, money, coupons, billing, parking, cooperative, shopping place, floor",https://www.google.com/maps/place/TRENDS/data=!4m7!3m6!1s0x3bc2958dc39d2d4d:0x5b5b438b6a61ee19!8m2!3d18.4801525!4d73.824843!16s%2Fg%2F11f67d3rkn!19sChIJTS2dw42VwjsRGe5haotDW1s?authuser=0&hl=en&rclk=1
ChIJ-Vpqwh65wjsRQu5sA1pNohA,TRENDS,,False,2169,"Name: Pantaloons (GK Mall Pimple Saudagar, Pune )
link: https://www.google.com/maps/search/Pantaloons+%28GK+Mall+Pimple+Saudagar%2C+Pune+%29/@18.5967211,73.7959709?authuser=0&hl=en&entry=ttu
Reviews: 2575 reviews

Name: TRENDS
link: https://www.google.com/maps/search/TRENDS/@18.6330445,73.8006257?authuser=0&hl=en&entry=ttu
Reviews: 408 reviews

Name: TRENDS
link: https://www.google.com/maps/search/TRENDS/@18.5945779,73.7280413?authuser=0&hl=en&entry=ttu
Reviews: 309 reviews

Name: Geetanjali The Women Shoppee
link: https://www.google.com/maps/search/Geetanjali+The+Women+Shoppee/@18.598396599999997,73.7918892?authuser=0&hl=en&entry=ttu
Reviews: 178 reviews

Name: Trends Footwear
link: https://www.google.com/maps/search/Trends+Footwear/@18.5042015,73.8335372?authuser=0&hl=en&entry=ttu
Reviews: 19 reviews",https://reliancetrends.com/page/trends-konkane-chowk-pune,TRENDS (Owner),https://www.google.com/maps/contrib/105400254020695816164,https://lh5.googleusercontent.com/p/AF1QipNQCzm-0C8UgGt3ki4MC3Xtum9HGpInDQtdAYm3=w426-h240-k-no,Clothing store,"Clothing store, Casual Clothing Store, Outlet mall, Store",4,11 am-9:30 pm,Open All Days,093210 65137,"TRENDS, Rk Lunkad Business Centre, Kokane Chowk, Pimple Saudagar, Pune, Pimpri-Chinchwad, Maharashtra 411057","kids, grocery, floor, varieties, coupons, budget, casual wear, parking, AC, formal wear",https://www.google.com/maps/place/TRENDS/data=!4m7!3m6!1s0x3bc2b91ec26a5af9:0x10a24d5a036cee42!8m2!3d18.5968582!4d73.7904132!16s%2Fg%2F11f1ym2y8k!19sChIJ-Vpqwh65wjsRQu5sA1pNohA?authuser=0&hl=en&rclk=1
ChIJS7yp2zG_wjsRSDP93ryV_20,TRENDS,,False,1514,"Name: Reliance Mall
link: https://www.google.com/maps/search/Reliance+Mall/@18.5634989,73.8072122?authuser=0&hl=en&entry=ttu
Reviews: 3451 reviews

Name: TRENDS
link: https://www.google.com/maps/search/TRENDS/@18.6330445,73.8006257?authuser=0&hl=en&entry=ttu
Reviews: 408 reviews

Name: TRENDS
link: https://www.google.com/maps/search/TRENDS/@18.502693999999998,73.899909?authuser=0&hl=en&entry=ttu
Reviews: 15 reviews

Name: Reliance Brands Ltd
link: https://www.google.com/maps/search/Reliance+Brands+Ltd/@18.5341263,73.8297793?authuser=0&hl=en&entry=ttu
Reviews: 11 reviews",https://reliancetrends.com/page/trends-reliance-smart-westend-mall-pune,TRENDS (Owner),https://www.google.com/maps/contrib/109299902143780755513,https://lh5.googleusercontent.com/p/AF1QipPgYPcg-2MYlUmyrPweaiz4Q4IRfyZ3IdFcrru6=w408-h306-k-no,Clothing store,"Clothing store, Casual Clothing Store, Outlet mall, Store",4,11 am-9:30 pm,Open All Days,091680 09288,"TRENDS, Reliance Mall, 1st Reliance Smart Westend Mall, Seasons Rd, Opposite Macdonald, Ward No. 8, Indrayani Nagar Sector 2, Aundh, Pune, Maharashtra 411007","discount, brands, products, experience, electronics, kids, footwear, grocery, budget, outlet",https://www.google.com/maps/place/TRENDS/data=!4m7!3m6!1s0x3bc2bf31dba9bc4b:0x6dff95bcdefd3348!8m2!3d18.5636497!4d73.8071833!16s%2Fg%2F11fxwnlwd8!19sChIJS7yp2zG_wjsRSDP93ryV_20?authuser=0&hl=en&rclk=1
ChIJEdnub8_BwjsRs9hhnDFYxts,TRENDS,,False,15,"Name: TRENDS
link: https://www.google.com/maps/search/TRENDS/@18.4801525,73.824843?authuser=0&hl=en&entry=ttu
Reviews: 2237 reviews

Name: Reliance Trends
link: https://www.google.com/maps/search/Reliance+Trends/@18.5805948,73.97661579999999?authuser=0&hl=en&entry=ttu
Reviews: 803 reviews

Name: Trends Trading
link: https://www.google.com/maps/search/Trends+Trading/@18.5180811,73.8782466?authuser=0&hl=en&entry=ttu
Reviews: 11 reviews

Name: Fashion Trends
link: https://www.google.com/maps/search/Fashion+Trends/@18.5177668,73.85106300000001?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",https://reliancetrends.com/page/trends-solapur-road-pune,TRENDS (Owner),https://www.google.com/maps/contrib/110731235085386063103,https://lh5.googleusercontent.com/p/AF1QipNBCmsdLUTvDB_4iEd1HaQKAj9TAZdPMj757O-s=w426-h240-k-no,Clothing store,"Clothing store, Casual Clothing Store, Outlet mall, Store",4.1,11 am-9:30 pm,Open All Days,086002 89439,"TRENDS, Tain Square, Building, Pune - Solapur Rd, opp. HDFC Bank, Fatima Nagar, Wanowrie, Pune, Maharashtra 411040",,https://www.google.com/maps/place/TRENDS/data=!4m7!3m6!1s0x3bc2c1cf6feed911:0xdbc658319c61d8b3!8m2!3d18.502694!4d73.899909!16s%2Fg%2F11f1wbfncj!19sChIJEdnub8_BwjsRs9hhnDFYxts?authuser=0&hl=en&rclk=1
